date_time	id	temperature	humidity	photoluminescence
2018-12-11 13:04:35	141609	81.6286	0.5254	30.5955
2018-12-11 13:04:37	141610	81.6286	0.5254	31.0321
2018-12-11 13:04:39	141611	81.6286	0.5254	30.7774
2018-12-11 13:04:41	141612	81.6286	0.5254	31.505
2018-12-11 13:04:43	141613	81.6286	0.5254	32.6692
2018-12-11 13:04:45	141614	81.6286	0.5254	30.8502
2018-12-11 13:04:47	141615	81.6286	0.5254	31.0321
2018-12-11 13:04:53	141616	81.6286	0.5254	30.5228
2018-12-11 13:04:54	141617	81.6286	0.5254	29.9407
2018-12-11 13:04:56	141618	81.6286	0.5254	30.9957
2018-12-11 13:04:58	141619	81.6286	0.5254	30.8502
2018-12-11 13:05:00	141620	81.6286	0.5254	30.1226
2018-12-11 13:05:02	141621	81.6286	0.5254	30.7411
2018-12-11 13:05:04	141622	81.6286	0.5254	30.7774
2018-12-11 13:05:06	141623	81.6286	0.5254	30.2317
2018-12-11 13:05:07	141624	81.6286	0.5254	30.7774
2018-12-11 13:05:09	141625	81.6286	0.5254	30.1954
2018-12-11 13:05:11	141626	81.6286	0.5254	30.0498
2018-12-11 13:05:13	141627	81.6286	0.5254	29.9407
2018-12-11 13:05:15	141628	81.6286	0.5254	30.3409
2018-12-11 13:05:17	141629	81.6286	0.5254	30.5228
2018-12-11 13:05:19	141630	81.6286	0.5254	30.2317
2018-12-11 13:05:20	141631	81.6286	0.5254	30.159000000000002
2018-12-11 13:05:22	141632	81.6286	0.5254	29.8679
2018-12-11 13:05:24	141633	81.6286	0.5254	29.7952
2018-12-11 13:05:26	141634	81.6286	0.5254	30.2317
2018-12-11 13:05:28	141635	81.6286	0.5254	30.3045
2018-12-11 13:05:30	141636	81.6286	0.5254	30.2681
2018-12-11 13:05:32	141637	81.6286	0.5254	30.1226
2018-12-11 13:05:33	141638	81.6286	0.5254	29.6497
2018-12-11 13:05:35	141639	81.6286	0.5254	30.159000000000002
2018-12-11 13:05:37	141640	81.6286	0.5254	29.7588
2018-12-11 13:05:39	141641	81.6286	0.5254	29.0676
2018-12-11 13:05:41	141642	81.6286	0.5254	28.7766
2018-12-11 13:05:43	141643	81.6286	0.5254	29.8679
2018-12-11 13:05:44	141644	81.6286	0.5254	30.159000000000002
2018-12-11 13:05:46	141645	81.6286	0.5254	29.4314
2018-12-11 13:05:48	141646	81.6286	0.5254	28.631
2018-12-11 13:05:50	141647	81.6286	0.5254	28.631
